50.6108	21617.5
52.4569	20696.5
54.3027	20228.8
56.1481	19622.6
57.991	19167.5
59.8356	18575.4
61.68	18027.6
63.5239	17491.9
65.3653	17077.5
67.2085	16587.4
69.0514	16184.9
70.8918	15717.6
72.7339	15236.2
74.5757	14857.5
76.4149	14490.6
78.256	14122.5
80.0967	13843.2
81.9348	13550
83.7748	13241.8
85.6144	13019.6
87.4515	12770.3
89.2904	12524.8
91.1289	12305.8
92.9649	12142.5
94.8027	11947.5
96.638	11746.9
98.4751	11589.8
100.312	11436.8
102.146	11345.3
103.982	11181.6
105.815	11063.7
107.651	10922.2
109.483	10815.5
111.318	10689.1
113.15	10614.5
114.984	10519.6
116.815	10431.2
118.648	10348
120.481	10279.6
122.311	10195.4
124.143	10111.1
125.973	10059.1
127.804	9990.48
129.633	9928.11
131.462	9863.94
133.292	9812.57
135.12	9769.19
136.949	9707.36
138.776	9659.75
140.605	9625.8
142.431	9589.28
144.259	9556.2
146.085	9514.93
147.91	9470.75
149.737	9435.7
151.562	9415.77
153.388	9407.05
155.212	9371.96
157.035	9360.41
158.86	9340.04
160.683	9323.86
162.508	9312.14
164.33	9302.09
166.151	9297.26
167.975	9289.63
169.796	9277.92
171.616	9286.55
173.439	9274.41
175.259	9300.2
177.078	9296.35
178.899	9302.21
180.718	9291.68
182.537	9287.67
184.355	9274.5
186.175	9252.65
187.992	9225.64
189.809	9220.14
191.628	9183.88
193.444	9173.62
195.26	9142.48
197.076	9138.84
198.893	9126.46
200.708	9113.97
202.523	9113.59
204.337	9101.36
206.151	9108.51
207.967	9112.37
209.78	9110.47
211.592	9105.12
213.405	9103.14
215.217	9106.52
217.031	9121.83
218.842	9104.12
220.653	9099.73
222.464	9118.98
224.274	9102.98
226.084	9121.93
227.894	9138.08
229.705	9156.53
231.514	9160.82
233.323	9156.13
235.131	9181.9
236.939	9185.32
238.746	9198.61
240.553	9226.63
242.36	9248.05
244.167	9274.92
245.973	9266.86
247.778	9292.61
249.584	9298.6
251.391	9293.84
253.196	9310.96
